Model,Mean Accuracy,Variance Accuracy,Std Accuracy,Mean AUC,Variance AUC,Std AUC,Mean F1 Score,Variance F1 Score,Std F1 Score
Neural Network (Adam),0.5570135746606335,3.409021109313872e-05,0.005838682307947463,0.6461035107113677,5.350978832419144e-05,0.007315038504628082,0.5516731263626514,5.350668891500821e-05,0.007314826649689534
Gradient Boosting,0.5361990950226244,4.760344792285136e-05,0.0068995251954646385,0.636829537893551,3.0039016348557797e-05,0.005480786106806012,0.5356202754774626,8.401059961187513e-05,0.009165729627906068
