Model,Best Parameters,Best Accuracy,Best AUC,Best F1,Mean Accuracy,Std Accuracy,Var Accuracy,Mean AUC,Std AUC,Var AUC,Mean F1,Std F1,Var F1
Neural Network (Adam),"{'max_iter': 300, 'hidden_layer_sizes': (100,), 'batch_size': 64, 'alpha': 0.01}",0.5882352941176471,0.7503529762412567,0.5765730456494226,0.5491704374057316,0.017497366946940037,0.0003061578500758697,0.7336331773695891,0.009321257024578746,8.688583251825863e-05,0.5413214366941997,0.021047651238923635,0.00044300362267536366
L2 vs Dropout,"{'model_type': 'L2', 'dropout_rate': None, 'weight_decay': 0.01}",0.5916289592760181,0.6726599198379527,0.5877115049792889,0.5254776269482152,0.019794275708533576,0.00039181335082544234,0.6091460020699917,0.01948495228235847,0.00037966336544578656,0.49572734090376763,0.03318410053985661,0.001101184528639312
