Model,Mean Accuracy,Variance Accuracy,Std Accuracy,Mean AUC,Variance AUC,Std AUC,Mean F1 Score,Variance F1 Score,Std F1 Score
Neural Network (Adam),0.5491704374057316,0.0003061578500758,0.01749736694694,0.7336331773695891,8.688583251825863e-05,0.0093212570245787,0.5413214366941997,0.0004430036226753,0.0210476512389236
L2 vs Dropout,0.5254776269482152,0.0003918133508254,0.0197942757085335,0.6091460020699917,0.0003796633654457,0.0194849522823584,0.4957273409037676,0.0011011845286393,0.0331841005398566
