Feature,Importance
Shell_weight,0.7660425650084438
Shucked_weight,0.1285427202132959
Whole_weight,0.048102633383190846
Sex,0.017688767032433144
Diameter,0.012941453852466984
Height,0.011328953618037865
Length,0.010342769269600465
Viscera_weight,0.00501013762253089
