Model,Best Parameters,Best Accuracy,Best AUC,Best F1,Mean Accuracy,Std Accuracy,Var Accuracy,Mean AUC,Std AUC,Var AUC,Mean F1,Std F1,Var F1
L2 vs Dropout,"{'model_type': 'Dropout', 'dropout_rate': 0.2, 'weight_decay': None}",0.6208791208791209,0.5919887410792588,0.5575207604131382,0.536019536019536,0.027132243860204623,0.0007361586568896114,0.5510752059171423,0.024682619485478317,0.0006092317046649139,0.4391567970238584,0.03917787558531069,0.0015349059353780834
Neural Network (Adam),"{'max_iter': 300, 'hidden_layer_sizes': (50,), 'batch_size': 64, 'alpha': 0.0001}",0.6428571428571429,0.7719641901529155,0.5981220352830999,0.5562271062271062,0.03989185894442285,0.001591360410041729,0.7039281749729779,0.05878508433574228,0.0034556861403603326,0.5191158054555269,0.0545241878822536,0.00297288706421929
