Combination,L2 Accuracy,L2 AUC,L2 F1,Dropout Accuracy,Dropout AUC,Dropout F1
"Dropout rate: 0.2, Weight decay (λ): 0.01",0.6346230554447547,0.6926024247727762,0.6261048088516001,0.6234543278819306,0.6748405327293476,0.6063914051526003
"Dropout rate: 0.3, Weight decay (λ): 0.001",0.6346230554447547,0.6925712153470844,0.6261575089289981,0.625847626645393,0.6744369138883124,0.6074073757615296
"Dropout rate: 0.5, Weight decay (λ): 0.0001",0.6342241723175109,0.6926048236522164,0.6253724872889038,0.6230554447546869,0.6679793552538291,0.6023172675426685
