Experiment,Max Depth,Min Samples Split,Min Samples Leaf,Test Accuracy,F1 Score,AUC
1,7,2,1,0.5927403270841644,0.5860965927924252,0.7765077897834065
2,7,2,4,0.6027124052652573,0.5979930507358097,0.8059629592329072
3,7,5,4,0.5847626645392899,0.5803857220073885,0.7891027022606767
4,10,10,2,0.5743917032309533,0.5638303160996244,0.7577179301435053
5,10,5,1,0.5791783007578779,0.5742120378112473,0.697012075128963
