Experiment,Max Depth,Min Samples Split,Min Samples Leaf,Test Accuracy,F1 Score,AUC
1,9,6,4,0.5867570801755085,0.5846650698233317,0.7457341086818402
2,4,3,2,0.6031112883925009,0.5962824951700845,0.8038611920819247
3,9,2,2,0.5723972875947347,0.5648021828799475,0.7399997302929315
4,9,3,4,0.5799760670123654,0.5693383487831931,0.763856899800825
5,9,4,1,0.5907459114479457,0.5825808178250341,0.7169112388067299
