Model,Mean Accuracy,Variance Accuracy,Std Accuracy,Mean AUC,Variance AUC,Std AUC,Mean F1 Score,Variance F1 Score,Std F1 Score
L2 vs Dropout,0.5505279034690799,0.0001964066384638,0.0140145152775207,0.6379408716249118,0.0001530326691431,0.0123706373782087,0.5385795223932661,0.0003333865985324,0.018258877252791
Neural Network (Adam),0.5494720965309201,0.0002215465603807,0.0148844402105264,0.7339059639312623,8.190065268915617e-05,0.0090498979380519,0.5414514027186264,0.0003520943639726,0.0187641776790949
