Model,Best Parameters,Best Accuracy,Best AUC,Best F1,Mean Accuracy,Std Accuracy,Var Accuracy,Mean AUC,Std AUC,Var AUC,Mean F1,Std F1,Var F1
Neural Network (Adam),"{'max_iter': 700, 'hidden_layer_sizes': (50,), 'batch_size': 32, 'alpha': 0.01}",0.6043956043956044,0.7663493780473276,0.5881009059730758,0.5423076923076924,0.04087532969146528,0.0016707925773859834,0.6713936250244886,0.10053557538761247,0.010107401918518312,0.49286497278699976,0.060849203716662456,0.003702625592951888
L2 vs Dropout,"{'model_type': 'L2', 'dropout_rate': None, 'weight_decay': 0.0001}",0.6153846153846154,0.6373680483366966,0.5759868066206094,0.5355311355311356,0.02690738636296859,0.0007240074408860681,0.5101501277706366,0.021568549947468648,0.00046520234683644976,0.3874674202874403,0.03518551691504818,0.001238020600579142
