L2 Accuracy,L2 AUC,L2 F1,Dropout Accuracy,Dropout AUC,Dropout F1
0.5824175824175825,0.6110134891836798,0.5716608657841913,0.532967032967033,0.4962805308693208,0.38096560479231956
0.5384615384615384,0.5930552982059776,0.5481521566236941,0.5384615384615384,0.4981782226465307,0.38213399503722084
0.5824175824175825,0.6185621603052311,0.5793304340747438,0.5439560439560439,0.5,0.3832857533925149
0.23626373626373626,0.4277390300091668,0.20190243618815046,0.5384615384615384,0.5290893630179345,0.39525324299760384
0.23076923076923078,0.4210831858533226,0.19852162762610523,0.5164835164835165,0.5,0.35180761267717786
0.23076923076923078,0.4210831858533226,0.19852162762610523,0.5164835164835165,0.5,0.35180761267717786
0.5769230769230769,0.6292306173585475,0.5641270836605073,0.5164835164835165,0.4796734568144254,0.3914673561732385
0.5934065934065934,0.6356830397432021,0.576301587764263,0.554945054945055,0.5013709281388116,0.40147864871595906
0.5769230769230769,0.6208819547851335,0.5627939263302756,0.5494505494505495,0.5,0.38968124074507055
0.47802197802197804,0.4930355939619213,0.3357100914352823,0.5054945054945055,0.5,0.33945616427368247
0.47802197802197804,0.4930355939619213,0.3357100914352823,0.5054945054945055,0.5,0.33945616427368247
0.47802197802197804,0.49304056968041504,0.3357100914352823,0.5054945054945055,0.5,0.33945616427368247
0.521978021978022,0.5355231091616302,0.42575250390635,0.5274725274725275,0.4944393103153211,0.3718871057000554
0.521978021978022,0.5355231091616302,0.42575250390635,0.5384615384615384,0.5053165778890173,0.3874600659480676
0.521978021978022,0.5355231091616302,0.42575250390635,0.5384615384615384,0.5,0.3769230769230769
0.31868131868131866,0.49829171669729233,0.3164794638669105,0.5494505494505495,0.5258391729588691,0.41468332237563016
0.31868131868131866,0.49829171669729233,0.3164794638669105,0.554945054945055,0.49822646970542134,0.4052350970500437
0.31868131868131866,0.498338808318751,0.3167558902269282,0.5384615384615384,0.4926738874201659,0.3898538737248414
0.41208791208791207,0.6116132050915627,0.393160852835949,0.5494505494505495,0.5060209791144145,0.3999660928132176
