Model,Mean Accuracy,Variance Accuracy,Std Accuracy,Mean AUC,Variance AUC,Std AUC,Mean F1 Score,Variance F1 Score,Std F1 Score
Neural Network (Adam),0.5703296703296703,2.898200700398482e-05,0.0053834939401827,0.7082162677912822,0.0004980723787279,0.0223175352296775,0.5297628388804584,0.0001381727638082,0.0117546911404878
Random Forest,0.5659340659340659,0.0002052892162782,0.0143279173740717,0.7493064394046272,0.0001103071208609,0.0105027196887753,0.5179803339754058,0.0005886672571186,0.0242624660147861
