Experiment,Max Depth,Min Samples Split,Min Samples Leaf,Test Accuracy,F1 Score,AUC
1,9,9,2,0.6250498603909055,0.6139448160167931,0.8081649163227747
2,9,9,2,0.6202632628639808,0.6177664466105293,0.8180920961847951
3,5,7,2,0.62983645791783,0.6045991055370155,0.8081037919351255
4,4,4,1,0.6106900678101316,0.5952926371143001,0.7936112531019718
5,8,4,2,0.6206621459912246,0.6025099234072004,0.8080790068243904
