,mean,var,std
Test Accuracy,0.5223773434383726,0.0008527061602861005,0.02920113285963578
F1 Score,0.5296795488868484,0.000725341544936737,0.026932165619139078
AUC,0.7642352342647728,0.0003311833794429458,0.018198444423712313
