,Combination,L2 Accuracy,L2 AUC,L2 F1,Dropout Accuracy,Dropout AUC,Dropout F1
0,"Dropout rate: 0.2, Weight decay (λ): 0.01",0.6326286398085361,0.690946872471146,0.622767344383052,0.625847626645393,0.6753775497870744,0.6058248619114738
1,"Dropout rate: 0.3, Weight decay (λ): 0.001",0.6378141204627045,0.6965558666106411,0.6306568302210362,0.6262465097726366,0.6787610108272413,0.6114554012191159
2,"Dropout rate: 0.5, Weight decay (λ): 0.0001",0.6354208216992421,0.696053925649651,0.6284410490807345,0.6146788990825688,0.6597011944935649,0.5873326532118219
