Feature,Importance
Shell_weight,0.5931498102913979
Shucked_weight,0.13851418501344243
Whole_weight,0.08617451839049593
Viscera_weight,0.05666892540907581
Height,0.042720727544648486
Sex,0.03539590944085495
Length,0.03061131068639294
Diameter,0.016764613223691563
