,mean,var,std
Test Accuracy,0.572636617471081,0.00035684685990515003,0.018890390676350503
F1 Score,0.5522006402946711,0.0009559137763224107,0.03091785529952572
AUC,0.7742598813976059,0.00011287791202832744,0.01062440172566566
