Experiment,Max Depth,Min Samples Split,Min Samples Leaf,Test Accuracy,F1 Score,AUC
1,5,9,4,0.6174710809732749,0.609831620545374,0.8061230642562374
2,4,4,3,0.6031112883925009,0.5962824951700845,0.8038140024309914
3,3,7,1,0.613083366573594,0.58787393694497,0.7784661942518847
4,6,2,4,0.6023135221380136,0.5887339589785637,0.7963150109113664
5,8,7,1,0.587554846429996,0.5800880141175786,0.7391685475913506
